name,year,mpaa,sex,violence,profanity
Death and the Maiden ,1995,R,5,8,8
Death at a Funeral ,2007,R,4,5,7
Death at a Funeral ,2010,R,5,5,9
Death Becomes Her ,1992,PG-13,2,4,2
Death of a President ,2006,R,0,6,5
Death Race ,2008,R,4,8,8
Death to Smoochy ,2002,R,4,6,9
"Debt, The ",2011,R,6,7,6
Deceiver ,1998,R,4,7,7
Deception ,2008,R,8,7,6
Deck the Halls ,2006,PG,4,3,1
Deep Blue Sea ,1999,R,3,9,5
"Deep Blue Sea, The ",2011,R,6,4,5
Deep Cover ,1992,R,1,4,5
"Deep End, The ",2001,R,6,6,6
"Deep End of the Ocean, The ",1999,PG-13,2,1,6
Deep Impact ,1998,PG-13,1,5,5
Deep Rising ,1998,R,1,8,7
Deepwater Horizon ,2016,PG-13,4,7,5
Defiance ,2008,R,4,8,5
"Definitely, Maybe ",2008,PG-13,5,3,4
Def Jam's How to Be a Player ,1997,R,8,1,8
Deja Vu ,2006,PG-13,4,7,4
Delicacy ,2011,PG-13,4,3,5
Deliver Us From Eva ,2003,R,4,3,4
Deliver Us from Evil ,2014,R,3,7,7
Delivery Man ,2013,PG-13,4,4,5
De-Lovely ,2004,PG-13,6,3,3
Delta Farce ,2007,PG-13,4,4,6
Demolition ,2016,R,3,5,8
Demolition Man ,1993,R,3,7,6
Denial ,2016,PG-13,1,3,5
Dennis the Menace ,1993,PG,2,4,1
"Descent, The ",2006,R,3,10,9
"Descendants, The ",2011,R,5,4,7
Desperado ,1995,R,6,9,8
Desperate Measures ,1998,R,1,8,6
Despicable Me ,2010,PG,2,3,2
Despicable Me 2 ,2013,PG,3,3,2
Despicable Me 3 ,2017,PG,2,3,1
Destiny Turns on the Radio ,1995,R,3,3,5
Deuce Bigalow: Male Gigolo ,1999,R,6,4,5
Deuce Bigalow: European Gigolo ,2005,R,7,5,5
Devil ,2010,PG-13,3,8,4
Devil in a Blue Dress ,1995,R,4,4,5
"Devil Inside, The ",2012,R,3,7,6
"Devil's Own, The ",1997,R,1,6,7
"Devil Wears Prada, The ",2006,PG-13,5,3,3
Diabolique ,1996,R,6,7,6
Diana ,2013,R,4,4,5
Diary of a Mad Black Woman ,2005,PG-13,3,4,4
Diary of a Wimpy Kid ,2010,PG,3,4,3
Diary of a Wimpy Kid: Dog Days ,2012,PG,2,3,2
Diary of a Wimpy Kid 2: Rodrick Rules ,2011,PG,1,3,2
Diary of a Wimpy Kid: The Long Haul ,2017,PG,2,3,1
Dick ,1999,PG-13,3,2,5
Dickie Roberts: Former Child Star ,2003,PG-13,4,3,5
"Dictator, The ",2012,R,7,6,6
Did You Hear About the Morgans? ,2009,PG-13,4,4,4
Difret ,2015,NR,3,4,1
Die Another Day ,2002,PG-13,5,6,3
Die Hard: With a Vengeance ,1995,R,2,8,9
Diggers ,2007,R,7,3,9
Digging to China ,1998,PG,2,2,0
Digimon: The Movie ,2000,PG,0,4,1
"Dilemma, The ",2011,PG-13,6,5,5
Dinner for Schmucks ,2010,PG-13,6,5,5
Dinosaur ,2000,PG,1,4,1
Dirty Dancing: Havana Nights ,2004,PG-13,5,3,5
Dirty Deeds ,2005,PG-13,7,4,4
Dirty Love ,2005,R,8,4,7
Dirty Pretty Things ,2003,R,6,5,6
Disaster Movie ,2008,PG-13,7,8,5
Disclosure ,1994,R,7,2,6
"Distinguished Gentleman, The ",1992,R,3,2,4
Disturbia ,2007,PG-13,6,6,4
Disturbing Behavior ,1998,R,5,7,7
Divergent ,2014,PG-13,2,6,3
"Divergent Series, The: Allegiant - Part 1 ",2016,PG-13,2,5,4
"Diving Bell and the Butterfly, The ",2007,PG-13,6,4,4
Divine Secrets of the Ya-Ya Sisterhood ,2002,PG-13,4,4,5
Django Unchained ,2012,R,6,9,7
DOA: Dead or Alive ,2007,PG-13,5,5,4
Dodgeball: A True Underdog Story ,2004,PG-13,5,4,5
"Dog of Flanders, A ",1999,PG,2,4,2
"Dog's Purpose, A ",2017,PG,2,4,1
Dogville ,2004,R,8,8,2
Dolores Claiborne ,1995,R,5,5,5
Dolphin Tale ,2011,PG,1,3,1
Dolphin Tale 2 ,2014,PG,2,3,1
Domestic Disturbance ,2001,PG-13,3,6,5
Don Juan Demarco ,1995,PG-13,4,2,2
Don't Be Afraid of the Dark ,2011,R,1,8,3
Don't Breathe ,2016,R,5,6,8
Don't Say A Word ,2001,R,5,7,6
Don't Think Twice ,2016,R,4,3,6
Doogal ,2006,G,0,3,0
Doom ,2005,R,5,8,7
Doomsday ,2008,R,6,9,9
"Double, The ",2011,PG-13,1,6,4
Double Jeopardy ,1999,R,5,6,6
Double Take ,2001,PG-13,4,7,5
Double Team ,1997,R,1,8,3
Doug's 1st Movie ,1999,G,1,3,1
Down Periscope ,1996,PG-13,2,3,5
Down To Earth ,2001,PG-13,5,5,5
Down to You ,2000,PG-13,5,3,5
Down with Love ,2002,PG-13,6,3,4
Do You Believe? ,2015,PG-13,3,5,2
Dracula: Dead and Loving It ,1995,PG-13,3,4,3
Dracula 2000 ,2000,R,6,8,7
Dracula Untold ,2014,PG-13,3,6,1
Draft Day ,2014,PG-13,3,2,5
Drag Me to Hell ,2009,PG-13,3,8,4
Dragonball Evolution ,2009,PG,4,4,3
Dragonfly ,2002,PG-13,4,5,5
Dragonheart ,1996,PG-13,1,6,1
Dragon: The Bruce Lee Story ,1993,PG-13,5,7,2
Dragon Wars ,2007,PG-13,2,6,3
Dredd 3D ,2012,R,5,8,9
Dreamcatcher ,2003,R,3,10,7
Dreamer: Inspired by a True Story ,2005,PG,1,3,2
"Dreamers, The ",2004,NC-17,10,4,5
Dreamgirls ,2006,PG-13,4,3,5
Dream House ,2011,PG-13,2,6,5
Drillbit Taylor ,2008,PG-13,4,6,4
Drive ,2011,R,5,8,8
Drive Angry 3D ,2011,R,9,8,9
Drive Me Crazy ,1999,PG-13,4,3,6
Driven ,2001,PG-13,3,5,5
Drop Dead Gorgeous ,1999,PG-13,4,5,6
Drowning Mona ,2000,PG-13,5,5,5
Dr. Dolittle ,1998,PG-13,2,3,2
Dr. Dolittle 2 ,2001,PG,3,3,3
Dr. Jekyll and Ms. Hyde ,1995,PG-13,6,3,5
Dr. Giggles ,1992,R,3,8,2
Dr. Seuss' Horton Hears a Who ,2008,G,0,3,1
Dr. Seuss' The Cat in the Hat ,2003,PG,3,3,2
Dr. Seuss' The Lorax ,2012,PG,1,3,1
Doctor Strange ,2016,PG-13,1,5,3
Drumline ,2002,PG-13,3,3,4
D2: The Mighty Ducks ,1994,PG,0,2,0
D3: The Mighty Ducks ,1996,PG,1,3,3
"Duchess, The ",2008,PG-13,7,5,1
"Dude, Where's My Car? ",2000,PG-13,6,4,5
Dudley Do-Right ,1999,PG,1,4,2
Due Date ,2010,R,6,5,9
Duets ,2000,R,6,4,5
"Duff, The ",2015,PG-13,5,3,5
"Dukes of Hazzard, The ",2005,PG-13,6,4,5
Duma ,2005,PG,1,4,1
Dumb and Dumberer: When Harry Met Lloyd ,2003,PG-13,5,4,4
Dumb and Dumber To ,2014,PG-13,6,4,5
Dungeons and Dragons ,2000,PG-13,1,6,2
Dunkirk ,2017,PG-13,0,6,5
Dunston Checks In ,1996,PG,2,2,2
Duplex ,2003,PG-13,5,5,4
Duplicity ,2009,PG-13,5,3,4
Dylan Dog: Dead of Night ,2011,PG-13,5,8,4
"Eagle, The ",2011,PG-13,2,8,4
Eagle Eye ,2008,PG-13,2,6,5
Eagle vs. Shark ,2007,R,6,5,6
Earth ,2009,G,0,4,0
Earth to Echo ,2014,PG,1,3,4
"East, The ",2013,PG-13,6,6,4
East is East ,1999,R,7,4,7
Eastern Promises ,2007,R,8,9,7
Easy A ,2010,PG-13,7,2,4
Easy Virtue ,2009,PG-13,5,4,3
Eat Pray Love ,2010,PG-13,5,2,5
Ed ,1996,PG,2,2,4
Eddie ,1996,PG-13,2,2,5
Eddie the Eagle ,2016,PG-13,3,4,3
"Edge, The ",1997,R,1,6,6
Edge of Darkness ,2010,R,1,8,9
"Edge of Seventeen, The ",2016,R,5,3,6
Edge of Tomorrow ,2014,PG-13,2,6,5
EDtv ,1999,PG-13,4,2,5
"Education, An ",2009,PG-13,6,1,4
Edward II ,1992,R,9,7,2
Ed Wood ,1994,R,2,1,5
Effie Gray ,2015,PG-13,5,3,1
Eight Below ,2006,PG,2,4,1
8 Crazy Nights ,2002,PG-13,4,4,4
8 Heads in a Duffel Bag ,1997,R,3,6,7
Eight Legged Freaks ,2002,PG-13,3,5,4
8 Seconds ,1994,PG-13,2,4,3
88 Minutes ,2008,R,6,8,5
Election ,1999,R,7,2,6
Elektra ,2005,PG-13,3,6,3
"11th Hour, The ",2007,PG,2,3,1
Elf ,2003,PG,3,3,3
Elizabeth ,1998,R,6,7,2
Elizabeth: The Golden Age ,2007,PG-13,5,7,3
Elizabethtown ,2005,PG-13,4,3,5
Ella Enchanted ,2004,PG,3,4,1
Emma ,1996,PG,0,1,1
"Emoji Movie, The ",2017,PG,1,3,2
Emperor ,2013,PG-13,2,5,5
Emperor's Club ,2002,PG-13,3,1,4
"Emperor's New Clothes, The ",2002,PG,2,2,1
"Emperor's New Groove, The ",2000,G,0,3,1
Employee of the Month ,2006,PG-13,4,4,5
Enchanted ,2007,PG,3,2,1
Enchanted April ,1992,PG,1,0,0
Encino Man ,1992,PG,3,1,1
Ender's Game ,2013,PG-13,1,6,3
Endless Love ,2014,PG-13,5,3,5
End of Days ,1999,R,5,9,7
"End of Love, The ",2013,NR,3,3,7
"End of the Affair, The ",1999,R,7,3,2
End of the Spear ,2006,PG-13,3,7,1
"End of the Tour, The ",2015,R,3,2,7
Endurance ,1999,G,0,2,0
Enemy at the Gates ,2001,R,6,10,4
Enemy of the State ,1998,R,3,6,8
"English Patient, The ",1996,R,7,7,5
"Englishman Who Went Up a Hill, but Came Down a Mountain, The ",1995,PG,1,1,1
"English Teacher, The ",2013,R,6,4,6
Enigma ,2002,R,5,4,5
Enough ,2002,PG-13,4,6,3
Enough Said ,2013,PG-13,5,2,4
Enron: The Smartest Guys in the Room ,2005,NR,5,3,5
Entrapment ,1999,PG-13,3,4,5
Envy ,2004,PG-13,4,4,5
Epic ,2013,PG,1,4,1
Epic Movie ,2007,PG-13,6,7,5
Eragon ,2006,PG,1,6,1
Eraser ,1996,R,0,9,7
Erin Brockovich ,2000,R,3,1,8
Escape from L.A. ,1996,R,2,8,5
Escape from Planet Earth ,2013,PG,2,4,2
Escape Plan ,2013,R,2,6,9
Eternal Sunshine of the Spotless Mind ,2004,R,6,5,7
Ethan Frome ,1993,PG,3,2,0
E.T. The Extra-Terrestrial ,1982,PG,1,4,3
Eurotrip ,2004,R,10,6,6
Evan Almighty ,2007,PG,2,2,3
Even Cowgirls Get the Blues ,1994,R,6,3,6
Evening ,2007,PG-13,4,3,5
"Evening Star, The ",1996,PG-13,5,0,5
Event Horizon ,1997,R,4,9,7
Ever After: A Cinderella Story ,1998,PG,1,2,2
Everest ,1998,NR,0,2,1
Everest ,2015,PG-13,1,5,1
Everybody Has a Plan ,2013,R,6,7,5
Everybody's Fine ,2009,PG-13,3,3,5
Everyone's Hero ,2006,G,1,3,1
"Everything, Everything ",2017,PG-13,5,3,3
Everything is Illuminated ,2005,PG-13,4,6,5
Everything Must Go ,2011,R,6,3,5
Evil Dead ,2013,R,5,10,8
Evita ,1997,PG,1,4,1
Evolution ,2001,PG-13,4,5,5
"Ex, The ",2007,PG-13,5,4,5
Excess Baggage ,1997,PG-13,1,3,4
Executive Decision ,1996,R,3,7,5
eXistenZ ,1999,R,3,10,5
Exit to Eden ,1994,R,9,4,1
Exit Wounds ,2001,R,6,9,9
Ex Machina ,2015,R,6,5,6
Exodus: Gods and Kings ,2014,PG-13,1,6,1
"Exorcism of Emily Rose, The ",2005,PG-13,1,7,4
"Exorcist, The ",1973,R,5,7,7
Exorcist: The Beginning ,2004,R,5,10,5
Expelled: No Intelligence Allowed ,2008,PG,1,3,1
"Expendables, The ",2010,R,2,9,5
"Expendables 2, The ",2012,R,2,8,4
"Expendables 3, The ",2014,PG-13,2,6,5
"Express, The ",2008,PG,3,3,4
Extract ,2009,R,5,4,5
Extraordinary Measures ,2009,PG,2,2,4
Extremely Loud and Incredibly Close ,2011,PG-13,1,5,4
Extreme Measures ,1996,R,2,7,7
Extreme Ops ,2002,PG-13,4,5,5
"Eye, The ",2008,PG-13,4,7,3
Eye for an Eye ,1996,R,2,6,6
Eye in the Sky ,2016,R,1,6,5
Eye of the Beholder ,1999,R,6,7,7
Eye of the Dolphin ,2007,PG-13,2,1,2
"Eyes of My Mother, The ",2016,R,6,8,0
Eyes Wide Shut ,1999,R,10,2,7
Face/Off ,1997,R,3,9,8
"Faculty, The ",1998,R,5,9,9
Failure to Launch ,2006,PG-13,6,4,5
Fair Game ,1995,R,5,6,7
Fair Game ,2010,PG-13,3,4,5
Fairy Tale: A True Story ,1997,PG,0,2,2
Faithful ,1996,R,4,4,8
Fallen ,1998,R,2,6,7
Falling Down ,1993,R,1,6,8
Falling From Grace ,1992,PG-13,2,2,2
Fame ,2009,PG,4,2,4
"Family, The ",2013,R,6,7,8
"Family Fang, The ",2016,R,3,5,5
"Family Man, The ",2000,PG-13,4,3,5
"Family Stone, The ",2005,PG-13,4,3,4
"Family Thing, A ",1996,PG-13,0,4,5
Fantasia 2000 ,1999,G,1,3,0
Fantastic Beasts and Where to Find Them ,2016,PG-13,2,4,2
Fantastic Four ,2005,PG-13,4,5,3
Fantastic Four ,2015,PG-13,1,6,4
Fantastic Four: Rise of the Silver Surfer ,2007,PG,3,4,3
Fantastic Mr. Fox ,2009,PG,1,4,3
"Fan, The ",1996,R,1,5,9
Far and Away ,1992,PG-13,3,3,1
Fahrenheit 9/11 ,2004,R,4,8,5
Far From Heaven ,2002,PG-13,4,4,5
Far From Home: The Adventures of Yellow Dog ,1995,PG,0,3,1
Far From the Madding Crowd ,2015,PG-13,5,4,2
"Far Off Place, A ",1993,PG,0,4,3
Fargo ,1996,R,5,7,8
Fast & Furious ,2009,PG-13,5,6,5
"Fast and the Furious, The ",2001,PG-13,4,5,6
Fast & Furious 6 ,2013,PG-13,4,6,5
"Fast and the Furious, The: Tokyo Drift ",2006,PG-13,5,6,5
Fast Five ,2011,PG-13,4,7,5
Fast Food Nation ,2006,R,8,7,9
Faster ,2010,R,4,8,5
Fat Albert ,2004,PG,3,2,2
Fatal Instinct ,1993,PG-13,3,3,2
Fateless ,2005,R,5,6,5
"Fate of the Furious, The ",2017,PG-13,4,6,5
Father Hood ,1993,PG-13,1,4,2
Father of the Bride ,1991,PG,2,1,1
Father of the Bride: Part II ,1995,PG,2,1,2
Fathers' Day ,1997,PG-13,3,3,3
"Fault in Our Stars, The ",2014,PG-13,4,4,5
"Favor, The ",1994,R,3,2,3
Fear ,1996,R,6,8,8
fear dot com ,2002,R,5,8,6
Fearless ,1993,R,0,6,5
Feast of Love ,2007,R,8,6,6
Feeling Minnesota ,1996,R,6,7,8
Feel the Noise ,2007,PG-13,6,4,5
Felicia's Journey ,1999,PG-13,2,3,2
Femme Fatale ,2002,R,9,7,7
Fences ,2016,PG-13,2,3,4
Ferngully: The Last Rainforest ,1992,G,0,1,0
Fever Pitch ,2005,PG-13,4,3,4
"Few Good Men, A ",1992,R,3,3,7
Fierce Creatures ,1997,PG-13,4,4,5
"Fifth Element, The ",1997,PG-13,4,6,3
"Fifth Estate, The ",2013,R,3,5,5
"5th Wave, The ",2016,PG-13,2,6,5
50 First Dates ,2004,PG-13,5,4,4
54,1998,R,6,1,7
Fifty Shades Darker ,2017,R,10,4,5
Fifty Shades of Grey ,2015,R,10,5,5
Fighting ,2009,PG-13,5,5,5
"Fighting Temptations, The ",2003,PG-13,5,2,4
"Final Destination, The ",2009,R,7,10,5
Final Destination 2 ,2003,R,5,9,6
Final Destination 3 ,2006,R,6,10,8
Final Destination 5 ,2011,R,4,10,5
Final Fantasy: The Spirits Within ,2001,PG-13,2,6,3
"Final Season, The ",2007,PG,2,3,4
Finding Dory ,2016,PG,1,3,1
Finding Forrester ,2000,PG-13,3,1,5
Finding Nemo ,2003,G,0,3,0
Finding Neverland ,2004,PG,2,3,2
"Finest Hours, The ",2016,PG-13,2,5,4
Fire Down Below ,1997,R,2,7,6
Fired Up! ,2009,PG-13,7,4,5
Firehouse Dog ,2007,PG,1,4,2
Fire in the Sky ,1993,PG-13,2,5,2
Fireproof ,2008,PG,3,3,0
Firestorm ,1998,R,0,8,6
Firewall ,2006,PG-13,2,7,5
"Firm, The ",1993,R,5,5,6
First Daughter ,2004,PG,4,3,3
First Descent ,2005,PG-13,1,4,5
"First Grader, The ",2011,PG-13,4,6,3
First Kid ,1996,PG,2,3,2
First Knight ,1995,PG-13,2,6,0
First Sunday ,2008,PG-13,3,4,5
First Wives Club ,1996,PG,2,2,3
(500) Days of Summer ,2009,PG-13,6,4,5
5 to 7 ,2015,R,6,2,5
"Five-Year Engagement, The ",2012,R,7,4,9
Flags of Our Fathers ,2006,R,2,8,6
Flash of Genius ,2008,PG-13,1,5,5
Fled ,1996,R,5,7,8
Flesh and Bone ,1993,R,5,5,5
Flicka ,2006,PG,3,4,3
Flight of the Phoenix ,2004,PG-13,1,6,5
Flightplan ,2005,PG-13,0,5,4
"Flintstones, The ",1994,PG,0,2,1
"Flintstones in Viva Rock Vegas, The ",2000,PG,2,2,1
Flipped ,2010,PG,2,2,4
Flipper ,1996,PG,0,3,3
Flirting with Disaster ,1996,R,5,2,6
Florence Foster Jenkins ,2016,PG-13,4,3,3
"Flowers of War, The ",2011,R,6,8,5
Flubber ,1997,PG,2,4,1
Fluke ,1995,PG,1,3,0
Flushed Away ,2006,PG,1,3,2
Fly Away Home ,1996,PG,1,2,3
Flyboys ,2006,PG-13,3,7,2
Fly Me to the Moon ,2008,G,1,2,1
Focus ,2001,PG-13,4,5,3
Folks ,1992,PG-13,2,2,2
Fool's Gold ,2008,PG-13,5,4,4
Fools Rush In ,1997,PG-13,2,2,5
Footloose ,2011,PG-13,5,5,4
"For a Good Time, Call�� ",2012,R,9,4,8
Forbidden Kingdom ,2008,PG-13,3,7,4
Forces of Nature ,1999,PG-13,5,4,5
For Colored Girls ,2010,R,8,7,6
"Forest, The ",2016,PG-13,1,6,3
"Forgotten, The ",2004,PG-13,3,4,5
For Greater Glory ,2012,R,1,8,3
For Love of the Game ,1999,PG-13,4,2,5
For Love or Money ,1993,PG,3,0,3
For Richer or Poorer ,1997,PG-13,1,2,5
Forever Young ,1992,PG,2,3,2
Forget Paris ,1995,PG-13,3,2,3
Forgetting Sarah Marshall ,2008,R,10,4,8
Forrest Gump ,1994,PG-13,4,4,5
Fortress ,1993,R,7,7,6
40 Days and 40 Nights ,2002,R,8,2,7
45 Years ,2016,R,5,1,5
47 Meters Down ,2017,PG-13,2,6,5
47 Ronin ,2013,PG-13,3,6,1
42,2013,PG-13,3,4,4
For Your Consideration ,2006,PG-13,3,1,5
"Fountain, The ",2006,R,4,6,5
Four Christmases ,2008,PG-13,6,4,4
"Four Feathers, The ",2002,PG-13,4,6,2
"Fourth Kind, The ",2009,PG-13,2,6,4
Four Weddings and a Funeral ,1994,R,4,1,7
1492: Conquest of Paradise ,1992,PG-13,3,9,1
1408,2007,PG-13,1,6,5
Foxcatcher ,2014,R,3,4,3
Fracture ,2007,R,4,5,5
Frailty ,2002,R,1,7,5
Frank ,2014,R,6,5,8
Frankenweenie ,2012,PG,1,4,2
Frankie and Johnny ,1991,R,7,3,6
Freaky Friday ,2003,PG,3,2,3
Freddy Got Fingered ,2001,R,7,8,9
Fred Claus ,2007,PG,2,3,2
Freddy Vs. Jason ,2003,R,7,10,8
Free Birds ,2013,PG,2,4,2
Freedomland ,2006,R,2,5,8
Freedom Writers ,2006,PG-13,2,7,5
"Free State of Jones, The ",2016,PG-13,1,7,3
Free Willy ,1993,PG,0,2,1
Free Willy 2: The Adventure Home ,1995,PG,2,2,1
Free Willy 3: The Rescue ,1997,PG,1,3,2
French Kiss ,1995,PG-13,3,2,5
Frequency ,2000,PG-13,1,5,4
Frida ,2002,R,7,7,6
Friday Night Lights ,2004,PG-13,4,4,5
Friends With Benefits ,2011,R,7,3,7
Friends with Kids ,2012,R,7,2,8
Friends with Money ,2006,R,7,3,7
"Frighteners, The ",1996,R,1,7,5
Fright Night ,2011,R,5,8,9
From Dusk till Dawn 2: Texas Blood Money ,1999,R,6,10,8
From Hell ,2001,R,7,10,6
From Justin to Kelly ,2003,PG,3,2,2
From Prada to Nada ,2011,PG-13,5,3,4
From Up on Poppy Hill ,2013,PG,2,3,1
Frost/Nixon ,2008,R,4,4,5
Frozen ,2013,PG,1,3,1
Frozen River ,2008,R,4,4,5
"Fugitive, The ",1993,PG-13,2,5,4
Full Frontal ,2002,R,7,4,9
Funny Games ,2007,R,5,8,5
Fun Size ,2012,PG-13,4,4,4
Fun with Dick and Jane ,2005,PG-13,3,3,5
Furious 7 ,2015,PG-13,4,6,5
Furry Vengeance ,2010,PG,2,4,1
"Fury Within, The ",1998,PG-13,1,4,3
"Future, The ",2011,R,6,1,5
Gainsbourg: A Heroic Life ,2011,NR,8,3,5
Galaxy Quest ,1999,PG,2,5,3
"Gallows, The ",2015,R,3,7,5
"Game, The ",1997,R,2,6,8
"Game Plan, The ",2007,PG,2,3,0
Gamer ,2009,R,7,9,8
"Gangs of New York, The ",2002,R,7,9,5
Gangster Squad ,2013,R,5,9,7
Garden State ,2004,R,7,3,9
Garfield ,2004,PG,1,2,1
Garfield: A Tail of Two Kitties ,2006,PG,1,2,1
Garmento ,2003,R,5,4,9
Gattaca ,1997,PG-13,2,4,5
"General's Daughter, The ",1999,R,8,8,7
Geography Club ,2013,PG-13,6,3,5
George of the Jungle ,1997,PG,2,2,1
George A. Romero's Land of the Dead ,2005,R,6,10,8
Georgia Rule ,2007,R,6,5,5
Geronimo: An American Legend ,1993,PG-13,0,6,1
Getaway ,2013,PG-13,1,6,4
"Getaway, The ",1994,R,6,8,6
Get Low ,2010,PG-13,2,4,4
Get on the Bus ,1996,R,3,2,7
Get on Up ,2014,PG-13,6,5,5
Get Out ,2017,R,3,8,9
Get Real ,1998,R,5,2,8
Get Shorty ,1995,R,2,4,9
Get Over It ,2001,PG-13,6,3,5
Get Smart ,2008,PG-13,4,5,4
Getting Even With Dad ,1994,PG,1,2,1
Gettysburg ,1993,PG,0,5,1
G-Force ,2009,PG,3,5,2
"Ghost and the Darkness, The ",1996,R,0,8,3
Ghostbusters ,2016,PG-13,2,4,3
Ghost in the Machine ,1994,R,2,6,3
Ghost in the Shell ,2017,PG-13,4,7,4
Ghost in the Shell 2: Innocence ,2004,PG-13,5,7,5
Ghost Rider ,2007,PG-13,3,7,4
Ghost Ship ,2002,R,5,9,7
Ghosts of Girlfriends Past ,2009,PG-13,6,4,4
Ghosts of Mars ,2001,R,4,9,8
Ghosts of Mississippi ,1997,PG-13,1,3,4
"Ghost Story, A ",2017,R,3,4,5
Ghost Town ,2008,PG-13,4,3,5
Ghost World ,2001,R,5,3,7
"Ghost Writer, The ",2010,PG-13,5,4,5
"Gift, The ",2001,R,7,9,7
"Gift, The ",2015,R,5,5,6
Gifted ,2017,PG-13,3,3,5
G.I. Jane ,1997,R,3,7,7
G.I. Joe: Retaliation ,2013,PG-13,4,7,5
G.I. Joe: The Rise of Cobra ,2009,PG-13,3,7,4
Ginger & Rosa ,2013,PG-13,4,3,5
"Girl, The ",2013,PG-13,3,3,5
Girlfight ,2000,R,3,5,8
Girl In Progress ,2012,PG-13,5,3,3
Girl Most Likely ,2013,PG-13,5,4,5
"Girl Next Door, The ",2004,R,8,4,9
"Girl on the Train, The ",2016,R,8,6,9
Girl 6 ,1996,R,7,3,7
"Girl Who Kicked the Hornet's Nest, The ",2010,R,8,7,5
"Girl Who Played with Fire, The ",2009,R,9,8,5
Girl with a Pearl Earring ,2003,PG-13,6,3,1
"Girl with the Dragon Tattoo, The ",2009,R,9,8,5
"Girl With the Dragon Tattoo, The ",2011,R,9,9,6
"Giver, The ",2014,PG-13,2,4,1
Gladiator ,1992,R,2,8,4
Gladiator ,2000,R,3,10,3
"Glass Castle, The ",2017,PG-13,5,6,5
"Glass House, The ",2001,PG-13,4,6,4
Glee: The 3D Concert Movie ,2010,PG,4,1,3
Glengarry Glen Ross ,1992,R,0,1,9
"Glimmer Man, The ",1996,R,3,8,7
"Glimpse Inside the Mind of Charles Swan III, A ",2013,R,7,5,8
Glory Road ,2005,PG,3,4,4
Gnomeo and Juliet ,2011,G,3,3,2
Goal! The Dream Begins ,2006,PG,3,2,4
God Help the Girl ,2014,NR,5,3,5
Gods and Generals ,2003,PG-13,1,6,3
Gods and Monsters ,1998,R,8,3,6
Godsend ,2004,PG-13,5,6,4
God's Not Dead 2 ,2016,PG,1,3,1
Gods of Egypt ,2016,PG-13,5,6,3
Godzilla ,1998,PG-13,1,5,3
Godzilla ,2014,PG-13,1,5,3
Godzilla 2000 ,2000,PG,0,5,4
Going In Style ,2017,PG-13,3,3,5
Going Upriver: The Long War of John Kerry ,2004,PG-13,1,7,3
Golddiggers: The Secret of Bear Mountain ,1995,PG,0,2,3
"Golden Compass, The ",2007,PG-13,1,6,2
Golden Door ,2006,PG-13,7,4,2
Golden Gate ,1994,R,3,3,5
GoldenEye ,1995,PG-13,3,6,1
Gone ,2012,PG-13,2,5,5
Gone Fishin' ,1997,PG,1,3,2
Gone Girl ,2014,R,8,6,9
Gone in 60 Seconds ,2000,PG-13,5,6,5
Good Boy! ,2003,PG,0,3,3
Good Burger ,1997,PG,1,2,2
"Good Day to Die Hard, A ",2013,R,3,6,6
Good Deeds ,2012,PG-13,4,3,3
"Good Dinosaur, The ",2015,PG,1,4,1
"Good German, The ",2006,R,8,6,7
"Good Girl, The ",2002,R,7,4,5
Good Hair ,2009,PG-13,5,3,5
Good Luck Chuck ,2007,R,9,4,6
"Good Man in Africa, A ",1994,R,5,4,5
"Good Night, and Good Luck ",2005,PG,1,1,2
"Good Shepherd, The ",2006,R,7,7,5
"Good Son, The ",1993,R,0,5,5
"Good Thief, The ",2003,R,7,5,8
"Good Year, A ",2006,PG-13,5,2,5
"Goofy Movie, A ",1995,G,1,2,0
Goosebumps ,2015,PG,2,4,2
Gordy ,1995,G,1,2,0
Gosford Park ,2001,R,5,4,6
"Gospel, The ",2005,PG,4,3,4
"Gospel of John, The ",2003,PG-13,2,6,0
Gossip ,2000,R,6,4,5
Gothika ,2003,R,7,7,5
Go Tigers! ,2001,R,3,4,6
"Governess, The ",1998,R,9,2,1
"Grace Card, The ",2011,PG-13,1,5,2
Gracie ,2007,PG-13,5,4,3
"Grand Budapest Hotel, The ",2014,R,6,6,6
Grandma ,2015,R,4,2,7
Grandma's Boy ,2006,R,8,3,9
Gravity ,2013,PG-13,1,5,5
Gray Matters ,2007,PG-13,4,1,5
Grease ,1978,PG,3,2,3
"Great Debaters, The ",2007,PG-13,4,5,4
"Greatest Game Ever Played, The ",2005,PG,1,3,3
Great Expectations ,1998,R,4,3,7
Great Expectations ,2012,PG-13,1,5,2
"Great Gatsby, The ",2013,PG-13,5,6,3
"Great Raid, The ",2005,R,1,7,3
"Great Wall, The ",2017,PG-13,1,7,3
"Great White Hype, The ",1996,R,2,5,8
Greedy ,1994,PG-13,3,2,5
Greenberg ,2010,R,7,2,8
Green Hornet ,2011,PG-13,5,7,4
Green Lantern ,2011,PG-13,4,7,4
"Green Mile, The ",1999,R,4,7,7
Green Zone ,2010,R,1,7,8
"Grey Zone, The ",2002,NR,6,7,9
"Gridiron Gang, The ",2006,PG-13,3,5,5
Griff the Invisible ,2011,PG-13,4,5,5
Grind ,2003,PG-13,4,3,5
Grizzly Man ,2005,R,2,6,9
Groove ,2000,R,4,0,8
Grosse Pointe Blank ,1997,R,2,7,7
